title,author,link,image
Instagram’s Snapchat clone marks 200 million daily users milestone,Philippine Daily Inquirer,https://technology.inquirer.net/61329/instagrams-snapchat-clone-marks-200-million-daily-users-milestone,NULL
"Collective wisdom, collective stupidity",Philippine Daily Inquirer,https://opinion.inquirer.net/103191/collective-wisdom-collective-stupidity,NULL
"Meeting between PH, Qatari labor chiefs eyed to discuss OFW rights",Philippine Daily Inquirer,https://globalnation.inquirer.net/154902/meeting-ph-qatari-labor-chiefs-eyed-discuss-ofw-rights,NULL
Qatar tipped to hire more Filipinos,Philippine Daily Inquirer,https://globalnation.inquirer.net/154900/qatar-tipped-to-hire-more-filipinos,NULL
Doha ‘honored’ as Duterte lands in Qatar — minister,Philippine Daily Inquirer,https://globalnation.inquirer.net/154897/doha-honored-duterte-lands-qatar-minister,NULL
"Bahrain prefers Filipino workers, seeks faster deployment by PH",Philippine Daily Inquirer,https://globalnation.inquirer.net/154894/bahrain-prefers-filipino-workers-seeks-faster-deployment-ph,NULL
Suspected IS member deported to Kuwait,Philippine Daily Inquirer,https://globalnation.inquirer.net/154891/suspected-is-member-deported-to-kuwait,NULL
"Duterte, Bahraini king oversee signing of 4 deals",Philippine Daily Inquirer,https://globalnation.inquirer.net/154888/duterte-bahraini-king-oversee-signing-4-deals,NULL
Filipino convicted of spying in Qatar spared from gallows,Philippine Daily Inquirer,https://globalnation.inquirer.net/154884/filipino-convicted-of-spying-in-qatar-spared-from-gallows,NULL
"Organ concert at Holy Name of Jesus Church SF, April 30",Philippine Daily Inquirer,https://usa.inquirer.net/2938/organ-concert-holy-name-jesus-church-sf-april-30,NULL
A popular Marian shrine in an immigrant enclave in San Francisco,Philippine Daily Inquirer,https://usa.inquirer.net/2924/popular-marian-shrine-immigrant-enclave-san-francisco,NULL
NY benefit showcases artistry of kids with autism,Philippine Daily Inquirer,https://usa.inquirer.net/2910/ny-benefit-showcases-artistry-kids-autism,NULL
Is warrantless search of electronic devices on entering US legal?,Philippine Daily Inquirer,https://usa.inquirer.net/2903/warrantless-search-electronic-devices-entering-us-legal,NULL
LOOK: Mango Cake recipe from Goldilocks Bakebook,Philippine Daily Inquirer,https://usa.inquirer.net/2898/look-mango-cake-recipe-goldilocks-bakebook,NULL
5 summer mood movies,Philippine Daily Inquirer,https://usa.inquirer.net/2907/5-summer-mood-movies,NULL
Should employees be paid for doing tasks while not clocked in?,Philippine Daily Inquirer,https://usa.inquirer.net/2900/employees-paid-tasks-not-clocked,NULL
First elected Fil-Am judge in Illinois indicted for mortgage fraud,Philippine Daily Inquirer,https://usa.inquirer.net/2876/chicago-area-fil-judge-indicted-mortgage-fraud-charges,NULL
United’s Unfriendly Skies: TWA (Traveling While Asian) is no joke,Philippine Daily Inquirer,https://usa.inquirer.net/2856/uniteds-unfriendly-skies-twa-traveling-asian-no-joke,NULL
TD ‘Crising’ weakens; 17 areas under Signal No. 1,Philippine Daily Inquirer,http://newsinfo.inquirer.net/889231/td-crising-weakens-17-areas-under-signal-no-1,NULL
Doha ‘honored’ as Duterte lands in Qatar — minister,Philippine Daily Inquirer,http://globalnation.inquirer.net/154897/doha-honored-duterte-lands-qatar-minister,NULL
China warns of war as North Korea vows ‘merciless’ response to US,Philippine Daily Inquirer,http://newsinfo.inquirer.net/889221/china-warns-of-war-as-north-korea-vows-merciless-response-to-us,NULL
Large asteroid in near miss with Earth on April 19,Philippine Daily Inquirer,http://newsinfo.inquirer.net/889209/large-asteroid-in-near-miss-with-earth-on-april-19,NULL
Christian pilgrims commemorate Good Friday in Jerusalem,Philippine Daily Inquirer,http://newsinfo.inquirer.net/889213/christian-pilgrims-commemorate-good-friday-in-jerusalem,NULL
WATCH: First ‘Star Wars: The Last Jedi’ trailer thrills fans,Philippine Daily Inquirer,https://entertainment.inquirer.net/222031/watch-first-star-wars-last-jedi-trailer-thrills-fans,NULL
Massive US bomb kills 36 ISIS Islamists — Afghanistan,Philippine Daily Inquirer,http://newsinfo.inquirer.net/889201/afghanistan-says-massive-us-bomb-killed-36-militants,NULL
Should employees be paid for doing tasks while not clocked in?,Philippine Daily Inquirer,http://usa.inquirer.net/2900/employees-paid-tasks-not-clocked,NULL
"Anti-Duterte or not, Catholics join ‘Penitential Walk for Life’",Philippine Daily Inquirer,http://newsinfo.inquirer.net/889171/anti-duterte-or-not-catholics-join-penitential-walk-for-life,NULL
Pope attends Good Friday service recalling Jesus’ suffering,Philippine Daily Inquirer,http://newsinfo.inquirer.net/889196/pope-attends-good-friday-service-recalling-jesus-suffering,NULL
